Name,Mon Open,Mon Close,Tue Open,Tue Close,Wed Open,Wed Close,Thur Open,Thur Close,Fri Open,Fri Close,Sat Open,Sat Close,Sun Open,Sun Close
Hardys: 6051 Maple St,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,8:00 AM,6:00 PM
Hardys: 2112 N 30th St ,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,8:00 AM,8:00 PM
Hardys: 1031 Jones St,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,7:00 AM,8:00 PM,8:00 AM,8:00 PM
Bad Seed: 2452 1/2 Harney St,,,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM
Blue Line: 4924 Underwood Ave,7:00 AM,7:00 PM,7:00 AM,7:00 PM,7:00 AM,7:00 PM,7:00 AM,7:00 PM,7:00 AM,7:00 PM,8:00 AM,7:00 PM,8:00 AM,3:00 PM
13th Street: 519 S 13th St,6:00 AM,7:00 PM,6:00 AM,7:00 PM,6:00 AM,7:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,8:00 AM,9:00 PM,8:00 AM,7:00 PM
Edge of the Universe: 6070 Maple St,,,12:00 PM,10:00 PM,12:00 PM,10:00 PM,12:00 PM,10:00 PM,12:00 PM,12:00 AM,10:00 PM,12:00 AM,12:00 PM,6:00 AM
Roast: 1904 S 67th St,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM
Culprit downtown: 1603 Farnam St,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM
Village Grinder: 8706 Pacific St,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM
Culprit Aksarben:1911 S 67th St,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM
Culprit Midtown: 3201 Farnam St,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM
Stories Coffee Company: 11432 Davenport St Ste 1,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,9:00 PM,6:00 AM,10:00 PM,6:00 AM,10:00 PM,8:00 AM,4:00 PM
Amateur Coffee: 3913 Cuming St,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM
Archetype: 3926 Farnam St,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,8:00 AM,3:00 PM,8:00 AM,3:00 PM
Legend Coffee & Comics: 5207 Leavenworth St,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM,9:00 AM,5:00 PM
Myrtle & Cypress Coffeehouse: 517 N 33rd St,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM
Rally Coffee Co: 749 N 14th St,,,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM,7:00 AM,3:00 PM
Urban Abbey: 1026 Jackson St,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,12:00 AM,5:00 PM
Zen Coffee Company: 2504 Farnam St,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM,7:00 AM,6:00 PM